压缩模式,数据规模,执行时间(秒),Find操作次数,Union操作次数,平均路径长度,最大路径长度,平均树高,最大树高,最终集合数
无压缩,1000,0.001161,3994,1597,1.23,4,0.17,4,41
完全压缩,1000,0.001336,3998,1599,0.86,4,0.19,2,43
折半压缩,1000,0.001475,3996,1598,0.72,2,0.17,3,47
分裂压缩,1000,0.001817,3996,1598,0.87,5,0.18,2,38
无压缩,5000,0.008455,19996,7998,1.40,6,0.08,6,212
完全压缩,5000,0.010834,20000,8000,0.87,4,0.12,2,217
折半压缩,5000,0.007108,19992,7996,0.72,2,0.07,3,226
分裂压缩,5000,0.007459,19996,7998,0.87,4,0.08,3,207
无压缩,10000,0.012742,39998,15999,1.37,7,0.08,7,450
完全压缩,10000,0.015142,39994,15997,0.87,5,0.08,2,445
折半压缩,10000,0.014266,39998,15999,0.72,2,0.08,3,472
分裂压缩,10000,0.015522,39998,15999,0.88,4,0.08,3,403
