压缩模式,数据规模,执行时间(秒),Find操作次数,Union操作次数,平均路径长度,最大路径长度,平均树高,最大树高,最终集合数
无压缩,1000,0.001661,3996,1598,1.24,4,0.09,4,44
完全压缩,1000,0.001367,4000,1600,0.88,4,0.20,2,44
折半压缩,1000,0.001353,3998,1599,0.73,3,0.15,3,48
分裂压缩,1000,0.001434,3990,1595,0.87,4,0.17,3,46
无压缩,5000,0.006424,19998,7999,1.39,6,0.08,6,207
完全压缩,5000,0.007158,19996,7998,0.87,4,0.10,2,229
折半压缩,5000,0.007515,19996,7998,0.72,3,0.10,3,215
分裂压缩,5000,0.007422,20000,8000,0.87,4,0.06,2,216
无压缩,10000,0.019479,39992,15996,1.40,6,0.08,6,432
完全压缩,10000,0.015534,39996,15998,0.87,5,0.08,3,420
折半压缩,10000,0.015595,40000,16000,0.72,3,0.10,3,428
分裂压缩,10000,0.016352,39998,15999,0.88,4,0.08,3,461
无压缩,5000,0.006978,19998,4999,0.50,1,1.00,1,1
完全压缩,5000,0.007589,19998,4999,0.50,1,1.00,1,1
折半压缩,5000,0.007111,19998,4999,0.50,1,1.00,1,1
分裂压缩,5000,0.007544,19998,4999,0.50,1,1.00,1,1
无压缩,500,0.000865,1996,798,1.36,5,0.31,5,26
完全压缩,500,0.000704,1992,796,0.85,3,0.26,3,23
折半压缩,500,0.000717,1998,799,0.73,2,0.25,2,24
分裂压缩,500,0.000742,1996,798,0.88,4,0.14,3,28
无压缩,1000,0.001136,3998,1599,1.29,4,0.13,4,47
完全压缩,1000,0.001466,3994,1597,0.86,4,0.16,2,44
折半压缩,1000,0.001744,3998,1599,0.73,2,0.16,2,50
分裂压缩,1000,0.001846,3996,1598,0.88,4,0.19,3,27
无压缩,2000,0.002913,7990,3195,1.34,5,0.09,5,76
完全压缩,2000,0.002927,7998,3199,0.86,4,0.11,2,79
折半压缩,2000,0.003167,7996,3198,0.72,2,0.09,3,105
分裂压缩,2000,0.002740,7996,3198,0.87,4,0.09,3,80
无压缩,5000,0.006535,20000,8000,1.40,7,0.12,7,216
完全压缩,5000,0.007049,19998,7999,0.86,5,0.07,3,231
折半压缩,5000,0.007314,19996,7998,0.73,3,0.08,3,234
分裂压缩,5000,0.007586,19996,7998,0.88,4,0.12,3,236
无压缩,10000,0.015846,40000,16000,1.37,6,0.09,6,461
完全压缩,10000,0.015060,40000,16000,0.87,4,0.06,3,434
折半压缩,10000,0.014911,39996,15998,0.72,3,0.06,3,431
分裂压缩,10000,0.014569,39998,15999,0.88,5,0.08,3,461
